query_id,answer
40,2646 4219 4440 4308 2962 4408 4234 4400 1966 4331
41,4362 4204 4234 4321 4361 3088 4290 4436 4387 4532
42,2646 1958 3088 4308 4387 4400 4234 2698 4331 4219
43,4362 4361 4234 4408 1954 4308 1923 4396 2511 1918
44,1966 2865 4219 3844 4361 4406 2646 4308 4234 2866
45,1958 4387 2646 2696 4408 4361 2865 4219 2521 4400
46,2665 4214 4408 2698 4398 3553 4308 4231 2962 4219
47,4219 4308 2646 4331 4400 4234 4361 4286 1966 1951
48,1966 4440 4219 2646 4387 2696 2866 2865 4384 1958
49,4408 1909 4358 4234 1960 4400 2831 1918 4308 2511
50,1951 4308 1899 4234 4328 4532 3467 4320 4218 4362
51,4395 4214 4219 4389 4424 2646 3026 4440 2943 4361
52,4395 4214 4424 4301 4235 4219 2696 2698 4222 2646
53,4408 4331 4234 2943 4387 4361 4219 2511 4358 4308
54,4424 4395 2698 4214 4445 3992 4209 4521 3478 4289
55,3467 4214 1951 4286 4320 4308 4387 4532 2944 3843
56,4308 4045 4403 2408 4400 4358 4408 3088 4234 4387
57,4372 2920 2904 2890 3028 2908 2905 2068 2223 3688
58,4219 2646 4313 4440 4285 4384 4361 1966 3077 3078
59,1958 2865 2646 4219 2521 1966 4308 4400 4408 4504
60,4407 4400 4403 2646 2831 4219 4408 2865 4308 3078
61,4219 2943 4440 4308 4361 4389 4384 2646 4396 3149
62,4408 4400 4219 2964 4308 2831 4234 2865 4286 4358
63,4387 4400 4408 4234 4308 3689 2831 4332 3088 4366
64,1909 1918 4387 1901 4234 4286 1907 2462 2511 4408
65,3128 3536 2942 2217 3643 4165 4008 3572 4266 4287
66,4266 2663 4269 4316 2888 4321 2894 2886 4276 3779
67,4440 4219 4313 3470 4384 4361 3078 2646 2696 1966
68,4008 3595 2663 2219 4435 2968 4356 4291 2661 4289
69,4400 4234 4331 4408 4219 4308 4361 1966 2646 2865
70,4396 4328 4286 4234 1907 4362 3467 4308 4153 4361
71,4545 4515 4308 2665 4219 4204 4234 2646 2196 4331
72,4361 4362 4234 2698 3467 4153 4214 1909 4308 4050
73,4440 3993 2968 4266 2220 4424 2663 4395 4316 4375
74,4400 2865 2696 4308 1966 4408 4219 4361 4234 2646
75,4219 2646 4440 4308 1966 4361 2943 4331 4234 4320
76,1901 4362 3088 4214 1918 1899 4234 4361 4396 4407
77,4515 4545 4362 4308 4396 3088 1958 1909 2962 4400
78,4204 1909 3751 4435 4250 4325 4356 2215 4362 4433
79,2696 1958 3844 2646 2865 1966 4387 4219 2521 4361
80,3861 4437 4308 2902 4354 4320 4266 2918 4547 4243
81,2866 2865 1966 2696 4400 4219 4361 4408 3470 4308
82,4400 4308 2964 4234 4532 4408 2831 1960 4219 4362
83,4234 1951 4361 4338 4400 4045 4308 4362 4396 4387
84,4400 3006 4308 4234 4367 4407 1966 4302 4304 4204
85,2962 2924 4320 4395 4328 4547 2232 4243 2918 4424
86,1951 4367 4308 4320 4408 4286 4319 4234 4400 2964
87,2646 4219 4361 1966 4331 4234 4384 4308 4313 4204
88,4286 1951 4328 2962 4050 4234 1901 4532 3088 2831
89,4320 4234 4328 4286 4532 4321 1901 3467 4289 4308
90,2696 1966 2865 2866 4400 4408 4219 3567 4361 4308
91,4308 3088 4234 1918 2943 1909 4361 4009 1901 1923
92,4218 4362 4250 4204 4325 4361 1909 4234 4310 2964
93,4387 1958 4234 4285 2696 4308 4504 4400 3689 3088
94,4411 3147 2062 2857 4109 4110 4205 4404 3431 3151
95,4532 3467 4320 4361 1951 4308 4396 1907 2962 3436
96,1958 4331 2831 4409 2646 4308 4219 4332 4302 2866
97,4403 4407 4400 2646 4234 1966 2865 4308 1958 4361
98,4234 2964 4400 4045 1951 4366 4362 4308 4367 4050
99,4219 4331 2646 4234 1958 4361 4408 2943 4400 4384
100,4396 4328 4234 3436 4286 4214 4320 4408 4366 4289
101,4308 4400 2865 4219 4361 2831 2866 4408 4440 1966
102,4451 4209 4445 3995 4159 4409 4227 4290 4258 4294
103,4219 2646 2962 4408 4394 3088 2191 4308 3565 1918
104,2865 4361 4440 2521 4308 4219 2866 1958 2646 2943
105,4440 4219 2646 4313 4384 3077 4308 2943 3078 4531
106,2646 4219 4408 4361 2962 3127 4234 2191 4395 4440
107,1918 1909 4400 3168 2802 3843 2944 2521 4009 1837
108,4308 4234 4285 4431 4532 4440 4433 4408 4214 4367
109,2646 4361 4219 1966 4308 4234 2943 4400 4440 4331
110,4408 4219 4308 4234 2191 3566 2962 3972 2646 4136
111,4219 2646 4308 4361 4331 4313 4233 2865 4408 4389
112,4389 4440 2696 2521 2831 3932 4329 4547 2865 2204
113,4320 4153 4361 4446 4045 4050 4362 3265 4436 1951
114,4395 4389 4219 3026 4214 2696 2646 4308 4424 4384
115,4454 4424 4395 4523 4526 4329 1842 4529 4520 4528
116,4308 4408 4219 2646 4396 2943 4234 4214 4440 1918
117,4396 1909 2248 4354 1899 4286 1901 4308 4249 4296
118,4440 4384 4361 4313 4219 3843 3078 4389 3077 2646
119,4219 2646 1966 4384 4308 3077 4362 4313 4440 3078
120,2943 4361 4313 4219 4440 4384 4257 3470 3078 1966
121,4440 4219 2646 4313 4361 2943 4384 4389 1966 3078
122,4451 4308 4209 2698 4290 4408 4214 3478 3995 4227
123,2646 4219 4331 2865 1966 4361 4313 4408 4308 4234
124,1909 4400 4408 4286 2511 4234 1960 4308 4396 1918
125,4440 4389 4219 4395 2663 2521 2943 2968 4407 3843
126,4385 4234 3591 4045 4328 4361 3774 3592 4050 2213
127,4384 3470 2646 4219 3078 4313 4361 1966 2943 4234
128,2865 4400 4308 4219 4361 2831 4407 2866 4408 1966
129,1960 4408 4308 4367 4234 4431 2918 2831 4289 2964
130,4308 4361 4234 4408 4387 2646 4219 4400 1951 1958
131,4440 2696 2220 2894 2895 2288 4453 4005 2886 4519
132,3871 2071 4404 4292 2068 3261 4409 4205 4411 2060
133,4366 4308 4234 3088 2698 4431 1951 4367 4045 1910
134,4328 4243 4302 4354 4329 4367 4050 4362 4396 4409
135,4387 1958 4285 4234 3689 3088 4332 4400 4407 2696
136,1966 2696 2866 2865 4219 3470 2288 4005 4308 1958
137,4408 4234 2408 4361 4362 4286 4308 1909 2511 4396
138,2060 4109 2857 4205 3261 4404 3151 3147 3431 4411
139,4308 4219 4234 4362 2646 2943 4396 1899 4214 4408
140,4395 4219 4389 2646 4440 3026 4214 2866 2696 4424
141,4387 1909 1954 4408 1918 4308 4403 4234 2511 4302
142,2865 2646 1958 4219 2521 4387 4384 4257 4308 1966
143,4320 4321 4308 4319 4366 3088 3995 4045 4436 4243
144,4389 4219 4384 4440 4308 4361 4396 2943 4234 4243
145,4362 1901 2698 1918 4308 4286 3088 4320 4234 1899
146,4234 4331 4286 4308 4320 3088 2918 3483 4361 1951
147,1966 4219 2646 4440 4387 4384 4400 3470 2696 2865
148,3844 2865 4308 4361 2646 4406 1966 2696 1958 4219
149,1966 2865 2646 4219 1958 4400 4384 4234 4361 4408
150,4445 2049 3563 3400 2038 4547 3359 4232 4347 3754
151,4400 1966 2865 4403 4308 4361 2646 4234 4219 1958
152,2943 1966 4219 4361 2646 4384 3470 2865 4308 4400
153,1907 4396 4286 1909 4328 4234 4361 4362 1899 4308
154,4396 4328 1907 4286 4234 3436 1909 4407 2408 4362
155,4400 4403 4308 4407 4234 4387 4408 1958 2408 4358
156,2865 2521 4308 4234 4400 2944 4331 2802 2696 2866
157,2866 2521 1966 4440 2865 2696 4400 2944 4408 2831
158,3088 1951 4320 4319 4445 2698 4532 4234 4328 4214
159,2865 1966 4361 4384 2866 2646 4308 4219 4400 2696
160,1909 4396 4517 4516 4234 4362 4328 4286 2065 4308
161,2665 4214 4398 2698 3553 2943 4308 4361 2696 2968
162,2696 2865 2646 1966 3470 2831 4384 4219 2866 2886
163,4204 4045 4320 4308 1951 4218 4214 4388 4436 4321
164,4400 4308 4234 3006 4367 4361 2696 3149 4109 4338
165,4219 3078 1966 2646 4313 3470 2037 4384 4361 4331
166,4362 4357 3467 4236 4234 2698 4308 1909 3088 4214
167,4400 4219 2865 4408 2646 4234 2831 4308 4387 1966
168,1951 4234 4308 4331 4286 4361 4387 4366 3088 4362
169,4400 4361 4308 4408 4234 1958 2865 2696 2521 1966
170,4234 1958 4361 4387 4504 3844 4257 4308 4400 2646
171,2696 4440 4219 4371 2942 4313 4361 4008 4375 4384
172,4219 2646 4207 4371 4361 4384 4408 4440 4322 4389
173,2696 2157 2203 2204 3932 4375 2220 3643 2663 2886
174,1909 4361 4400 4408 1907 4396 4532 4234 2408 4045
175,4451 4290 4214 4227 2698 2295 4209 2095 2450 3995
176,4219 4389 2646 4361 4440 4331 4308 4387 4234 2521
177,4320 4308 4214 4362 2698 1951 4111 4289 4234 4286
178,4320 4321 4367 4436 4366 4361 4050 3467 4431 4214
179,4423 4364 4220 4318 3028 4372 2914 2909 2917 4347
180,4389 4440 4219 4408 2943 4436 4344 4331 4361 3565
181,4285 4389 4440 4308 3565 2943 3843 4384 2646 4386
182,4234 4219 4285 4361 2646 3689 3055 4408 1923 4009
183,2919 4320 4319 3861 4445 4209 4050 3467 4286 2075
184,4308 2865 3844 2646 4361 1966 4234 2696 4406 4219
185,4320 1951 4214 4308 4367 4321 3861 2244 4436 2232
186,2220 3254 4320 2923 2279 4375 2198 4424 4243 4371
187,2831 4400 4308 1966 2865 3088 4234 4407 1958 4403
188,4400 4234 4408 2964 4308 2831 4332 2865 4219 4257
189,4400 4308 4219 4408 4234 2865 1966 4384 2646 1958
190,3580 4204 4006 2095 3579 2171 1951 4018 3467 4276
191,4532 1951 3128 3643 4289 4400 4234 2220 4361 1901
192,1909 4396 3843 3419 1918 4504 4286 1907 4234 2944
193,4403 4400 4234 4387 1958 4331 4407 4308 3088 1966
194,4286 4396 4234 4407 1909 1907 2511 4328 4532 2408
195,4395 4424 4214 3026 4350 4389 4219 4198 2681 4222
196,4387 4285 4407 4257 4308 1958 2865 4361 4205 2646
197,4219 4384 4389 4308 4361 3127 3565 2646 4440 4234
198,4320 4319 4446 1951 4050 4321 4451 4354 4328 4436
199,3844 4361 4406 2646 3689 4285 1958 4308 4531 2521
200,2866 1966 4400 4440 2865 2696 2646 4219 4408 3470
201,4332 4400 3056 3932 2203 2204 4366 2831 4234 3088
202,4308 4219 2943 4361 4440 2646 4396 4389 2944 4111
203,2646 4440 2696 4219 2865 1966 1958 4400 2866 2944
204,4308 4362 3265 4234 1899 4400 4328 1910 1909 4396
205,4384 4234 4308 4219 2865 4408 2943 3078 2646 2944
206,4111 2249 4396 4308 3088 4387 4407 4133 1901 4234
207,4395 4214 3026 4219 4424 2646 4301 4235 4389 4308
208,4387 4408 2521 2943 2646 4361 1958 4308 4403 4257
209,4361 4331 4308 1951 4234 3088 4204 4408 1899 4328
210,4361 4234 4308 2646 4334 4219 4400 4331 4329 1966
211,2646 4361 1966 4331 2866 4400 4219 4234 2865 1958
212,4214 4308 4286 4362 2698 2665 4320 1899 4328 1909
213,4440 4313 4219 2646 4384 1966 3565 3077 2696 2894
214,4395 4219 2696 3026 2866 2521 4214 2831 2646 4424
215,4408 4234 1909 2511 4400 4403 4396 3419 4328 4286
216,4321 4436 4356 2898 4315 4423 2968 4320 2918 2232
217,4366 4308 4214 4460 2698 4227 4451 4290 4209 4219
218,4361 2646 4219 4403 4440 4400 4406 2521 3419 2943
219,1901 4308 4045 4046 4008 2450 4133 2791 4407 4396
220,4440 2220 2696 2279 4389 3128 4395 3643 2198 3254
221,2943 4440 3565 4361 4389 4308 4384 4219 4394 4396
222,1907 1951 4286 4396 4234 4328 4050 4133 1909 4532
223,4257 4285 4523 4219 4440 4522 2646 4303 4531 4308
224,4400 4408 2831 4308 4401 4234 4219 1966 4232 4502
225,4371 4309 4303 4531 4220 3750 2910 2214 4202 4010
226,4371 3932 2203 2204 4372 4220 2910 4401 2156 3777
227,1907 4396 3436 1909 4286 4328 4234 4361 3467 1901
228,2865 4308 4408 4234 4219 3844 2646 4361 2866 4400
229,2646 4219 1966 4384 4387 1958 4400 4234 4308 4361
230,4504 2696 4408 3056 4400 4332 4219 4234 2865 4308
231,4286 4396 4234 4328 1907 4308 4050 4153 4400 4403
232,4387 1958 3689 4234 2944 3088 4400 3055 1966 2646
233,4532 3643 4361 3128 2942 3359 3563 2038 2698 2217
234,4387 4516 3088 1951 4308 4331 4517 4396 1918 4234
235,3689 3055 2646 3088 1958 2521 4219 4361 4387 1966
236,4387 4400 4408 2944 4308 2521 2802 4361 4234 2865
237,1918 1909 3265 4396 4346 4362 4361 4356 4344 4245
238,4321 1909 4328 4396 1901 3088 4436 4133 4387 4286
239,3931 3737 2668 4377 3661 4364 4423 3930 4220 4232
240,4396 3436 4328 1901 4387 3088 4243 4286 4234 1907
241,4396 4328 1907 4286 4234 4433 3088 4320 1909 4361
242,4234 4308 4009 1923 3689 4387 1954 4362 4356 4435
243,3844 4406 4361 4082 3972 3429 3011 2602 4234 4407
244,4308 4320 4532 4362 4409 4234 4302 2918 1951 4400
245,4387 2646 1958 4219 4361 4504 4384 1966 4257 4516
246,2696 2865 4400 4408 4361 4308 1958 4387 4219 2831
247,4219 2646 4440 2521 4361 4384 3573 3754 4308 4387
248,4186 4267 4269 2221 4163 2895 2046 4287 2661 4321
249,3470 4313 3567 3078 1966 4219 2866 2696 4384 2646
250,4308 1951 4320 4214 4243 1899 4234 2962 3088 1901
251,4400 4219 4214 2696 4408 4308 4332 2831 2865 3056
252,3254 2923 2886 4440 2894 2220 2887 4319 4332 3993
253,4396 4308 4328 1899 4234 2943 1909 4362 1901 4361
254,4321 4320 4361 4436 2944 1961 4422 3861 3088 4547
255,3843 4259 4300 1918 1836 4329 4295 4277 2944 3088
256,2865 4400 1966 4308 2696 2646 4407 4387 4219 1958
257,4369 4296 4249 4220 4314 4256 4126 4276 4267 4186
258,4214 4153 4446 4234 4361 2665 4362 4050 4400 4321
259,4408 4361 2865 4400 4219 4387 4384 4308 2646 4234
260,4234 4532 4361 1951 4050 4308 3467 4362 4320 4367
261,4408 3689 3055 4407 3209 2408 4361 4009 1923 4387
262,4286 4396 1909 4408 1907 4361 4400 4234 3419 2511
263,4162 4243 4518 4530 4385 3594 2953 4354 3595 4436
264,4309 4523 3790 1889 2674 4520 2521 3016 4377 3843
265,4387 4440 2866 4407 2646 1958 1966 4219 4285 2865
266,2698 4209 4451 3995 4227 4445 4214 4290 4366 4460
267,4400 4308 2831 4408 4234 4219 4387 4532 1966 4361
268,4400 4308 4328 4234 4396 4134 1909 4362 2196 4424
269,2698 4214 4366 4308 4451 4445 3995 4361 2918 3862
270,4320 4361 4234 4319 4312 4214 3858 4218 4321 4219
271,4396 4328 1907 4286 4234 3467 3592 4385 4519 4453
272,4219 1958 2646 2865 4384 4308 1966 4408 4234 2521
273,4532 3467 1951 3088 2962 4050 4153 4328 4366 4278
274,4396 4356 1901 4435 4433 3265 4205 1918 2857 1909
275,4219 2646 4313 4440 3077 4361 4389 4384 4233 1966
276,4408 4400 2831 1958 4308 4387 4219 4234 3055 2696
277,4451 2698 4218 4304 4207 2405 4227 4214 4204 4290
278,4396 4286 4328 1907 1909 3436 4308 4234 2511 1923
279,4396 1907 4328 4286 1909 2408 2511 4234 4408 3419
280,4387 4358 4408 4277 4361 4234 4295 2511 4403 4232
281,2943 2171 3595 4328 4361 4243 4205 4445 4209 2219
282,4219 4408 4234 4308 4361 2646 4400 4440 4384 2831
283,4446 4153 4362 4050 2964 4308 4045 3265 4046 1951
284,2895 2968 3595 2663 4015 2661 4435 4356 4357 4287
285,4308 4362 4214 2698 4361 4286 1951 1909 1899 4400
286,4396 4308 4234 4328 1909 1907 4361 4400 1899 4286
287,4224 4296 4256 4314 4249 2295 4134 4329 4430 3592
288,2962 4397 4319 4321 4436 4227 2949 4290 4138 2968
289,2943 4331 3088 4387 4408 4009 4361 1960 1923 2521
290,4153 4050 4204 4234 4045 1951 4308 4133 4362 4046
291,4407 4387 2408 1966 1958 4219 4408 4403 4440 4234
292,3689 3055 3088 4361 2865 1966 4408 2646 4400 2943
293,4219 4389 4384 3565 4308 2646 4440 4313 1966 4331
294,4395 2646 4424 4219 3026 1966 4214 4389 4350 4387
295,4400 4219 2865 4308 2831 2646 2964 4408 1958 1966
296,4320 4308 1951 4319 4214 4321 3088 2962 4328 4445
297,4308 4396 4361 2943 4219 1899 2964 4331 3088 4234
298,3844 4406 4361 1966 2037 2696 2646 4400 4082 2964
299,3470 2037 4384 2943 4361 1966 3078 4406 3748 4453
300,4408 4308 4234 1909 4396 4387 1960 4532 4400 4431
301,2646 4331 4219 4361 4308 4234 2521 2943 4389 1909
302,4291 4354 2953 4266 4316 2156 3525 2695 2217 4373
303,4396 4286 4328 1907 3168 3843 2802 2944 2521 4234
304,4373 4528 3015 4322 4207 2646 4361 4379 4010 4234
305,4243 4362 4435 1918 4356 2924 1899 2717 1901 3265
306,4234 4361 4408 1954 3088 2511 4009 1923 4321 4328
307,3784 4307 4239 4202 4243 4328 4371 4207 2661 3580
308,1951 4286 2962 4234 1907 4396 3467 4320 4328 1899
309,2663 4440 2968 4357 3588 4236 2204 4375 3932 2203
310,2251 4325 4250 4388 3088 1918 4321 4223 4221 4258
311,2865 2646 1966 4384 4219 4400 1958 2866 4408 3470
312,4362 4308 2698 3265 4361 4045 4234 4356 2943 1901
313,4045 4050 4362 4153 4234 1951 4308 4204 4133 4046
314,4308 4396 1899 1901 1909 2511 4234 3088 4362 4408
315,1951 4320 4234 4321 4319 4286 4214 4308 4289 3467
316,4408 4308 4234 4331 4387 4358 4400 1909 4396 2831
317,4400 1909 4234 4308 1901 4408 4362 2964 4396 1960
318,1966 2646 4387 4504 4257 1958 2865 4285 4219 2866
319,4331 4234 4362 4308 4320 4396 4208 1951 4446 4204
320,4219 4313 4361 4384 4233 2646 4333 4312 3470 2865
321,4396 1907 4328 4286 1909 4234 3467 2408 3419 3436
322,1909 3843 4265 4391 4245 4344 4361 1960 2831 4408
323,2866 2865 1966 4408 2831 4219 2646 4400 4331 2696
324,1958 4387 3055 3088 2521 3689 2831 4384 4408 4234
325,4219 2831 1966 4502 2866 4407 4331 2865 4234 4440
326,3436 1907 4396 4286 4234 4308 4328 2831 3467 4362
327,4361 2646 4219 4308 4331 4408 2943 4234 4233 4440
328,1910 4009 4308 4408 4331 2646 1923 1909 4358 4389
329,4408 4361 4400 4234 4219 2831 4308 2943 1909 1966
330,4308 4214 1951 4320 4286 2962 4532 4321 2698 4319
331,4440 4389 4219 4313 4218 2220 4395 4308 3077 4384
332,2698 4214 4308 4361 4451 4227 4219 4209 2665 4366
333,4320 1951 4308 4319 4321 3088 4436 1899 2698 1909
334,4308 2698 4214 4408 4366 4234 4451 2521 4445 4219
335,1899 1901 4396 4308 3088 2248 2244 4321 1918 1986
336,3088 4362 4328 4234 3265 4045 4308 4446 4400 4396
337,4361 2646 4219 4234 4331 2943 3088 4387 4384 4338
338,1909 4362 1951 1901 4395 3088 4387 4308 4424 4496
339,4308 4214 2698 4451 4234 4361 4445 4366 4219 3995
340,2928 2948 4243 3863 3853 2244 2695 4445 4383 2918
341,4387 2646 1958 2865 4407 4219 4504 1966 4400 3088
342,4045 4242 4243 4153 4050 3781 4518 4371 4530 4385
343,4389 4219 4308 2646 4408 2521 4395 4384 4361 4331
344,4219 4361 4446 2646 4153 4010 4389 4234 4362 4435
345,4219 2646 4361 4331 4384 4408 4440 2521 4308 1966
346,4445 4291 4432 2253 3209 4418 3844 2968 2962 2663
347,4234 4408 2865 4332 4308 2696 4219 4400 4367 4331
348,4440 4389 4219 4395 4308 4214 4387 3843 1960 2521
349,4361 2646 4219 4389 3565 4313 2943 4440 3078 4384
350,2865 1966 4219 2866 2696 2646 4384 3567 4308 3470
351,4387 4234 3689 4219 1966 4308 1909 4358 3055 4400
352,4308 2698 4209 4214 4400 4445 4451 4361 4234 4366
353,4110 2062 4205 4411 4109 2857 3261 2060 3150 4404
354,4354 2244 4396 4388 4249 1899 4308 1909 1901 4296
355,2962 4219 2646 2865 4308 4387 4397 2521 2866 4361
356,1909 4396 4328 4362 4308 4234 2196 1958 3265 4286
357,4408 4361 4219 4234 4308 2511 1909 4403 2408 4358
358,1951 4308 4361 4532 4322 4387 4010 2646 4214 4234
359,4400 4408 2865 4403 4308 4219 1958 2831 2646 2521
360,4328 4320 4321 4436 4356 2698 3265 1951 4367 4234
361,4395 4454 4424 2665 4214 3553 2698 4363 4398 2147
362,3088 4367 4243 3781 4045 4234 4313 4431 4408 2918
363,1966 2865 2696 3567 3689 4219 3470 3088 2646 3055
364,1907 4396 4361 4328 4234 1960 1909 4400 4242 3436
365,4439 3780 4337 4266 4545 4287 4515 3595 2942 2663
366,4308 4407 4387 4234 2865 4400 1958 4403 4406 4219
367,4313 4384 3078 3470 4440 3077 1966 4218 4219 2696
368,1910 4331 4387 4308 2698 4234 1951 3088 1909 4408
369,4328 4362 4234 4153 4050 4045 4446 1910 2964 2196
370,1951 4362 4234 3467 4045 4308 4331 4361 4214 4204
371,4445 4209 4451 3148 3843 4005 2663 4321 4178 4436
372,3088 3419 1909 1918 4362 4387 1958 2408 4396 4408
373,3088 4446 3265 4331 4308 4362 2964 4050 4153 4309
374,4308 4400 4234 2964 2646 4408 4331 4219 3088 1958
375,3467 4153 4320 4045 4050 4218 1951 2802 2944 4310
376,2865 2646 4219 1966 4400 1958 2866 4308 4384 2521
377,4408 2962 2831 4361 2646 4219 4400 4234 4532 4502
378,3265 4362 4435 4045 4308 4153 3467 4446 1951 4050
379,4440 4361 2865 4519 4219 4453 4384 4385 3565 1966
380,4403 4361 4400 1966 2866 2865 4408 4407 2831 4219
381,2646 4219 4400 2865 4308 4408 4361 4234 1966 4384
382,1907 1909 4286 3419 4396 4408 2511 2408 4400 4234
383,4370 3862 4435 3855 4551 2928 4243 4433 4249 4347
384,4331 4234 4050 4045 4046 4153 4204 4334 4214 4362
385,4320 4532 3467 4319 4321 4045 1951 4361 4050 4446
386,4219 3470 2696 4313 1966 4440 3078 2865 2646 4400
387,4396 3467 4308 4320 4328 4045 4532 1901 4234 3168
388,4219 4361 2866 2646 3564 4389 4331 3565 4440 4397
389,4234 4308 1951 2698 4400 4361 4387 4362 2962 4214
390,4371 4372 4401 4364 4347 4178 4318 4220 4423 2910
391,2462 4234 2511 4045 4361 4408 4362 4358 4320 1909
392,4308 4328 4234 4362 4361 4396 1909 4400 1899 1910
393,4408 1909 4234 4308 4219 2646 4440 4396 4407 4361
394,4320 1901 4321 1951 4319 2948 4436 3467 4355 4438
395,2220 4207 3128 2942 4276 4373 4008 4440 3643 4218
396,4219 3026 4384 4214 2646 4395 4308 3149 4205 4424
397,4408 4308 3088 4234 4387 4361 1951 2962 4400 4532
398,4424 4395 4454 4528 4523 4529 4520 1842 4331 4521
399,2865 2866 4219 4308 1966 2696 4361 4440 4400 3470
400,4389 4395 4219 3026 4214 4440 4424 4350 2646 4198
401,4400 4408 4308 2831 4234 1958 4219 2646 4387 2964
402,4451 4290 4214 2698 4227 2794 4209 2663 4447 4398
403,2696 3844 1966 2866 2865 4406 2646 4361 4313 4219
404,1966 4219 2865 2696 4384 2866 2646 3470 4400 4408
405,4286 2244 4388 4362 2408 4234 3689 4396 4296 4408
406,4387 4400 2831 4408 4308 4219 4361 4234 1958 4332
407,4234 4362 4286 4308 4214 4045 2964 4328 1909 4050
408,2646 4361 4219 4331 4308 4234 3088 2943 4406 1966
409,4396 1909 2248 4354 4286 4308 4249 1899 1901 4296
410,4234 4331 4408 3467 4361 3088 4321 1909 1954 4219
411,4387 4400 4408 4407 4403 4234 4331 4219 3088 4308
412,4214 3026 4219 4395 4389 2646 4424 4350 4301 4331
413,4328 4396 4134 1909 2065 4516 4234 4400 3265 1847
414,2663 2253 2794 2968 4220 4347 3777 4364 4371 4423
415,4400 4308 4234 2964 4328 1909 4362 4050 4045 4204
416,2944 4387 4400 4440 4408 2521 4219 1958 2646 3843
417,4411 3260 2062 4110 3431 3147 3008 4338 2061 4404
418,4234 4387 1909 4302 4328 4516 4409 4400 3088 1907
419,4313 3078 2696 4384 3470 4219 4400 2865 2866 3056
420,4219 2646 1966 4384 4313 4361 4440 2943 4389 3470
421,4400 2865 4234 4308 2696 2646 4361 1958 4408 2866
422,3088 4308 4400 4387 4408 4234 4362 1958 2511 4009
423,2962 4440 4389 4219 2865 4407 2646 4394 4397 2521
424,4308 2646 4234 4361 1958 4331 4338 4400 3088 4219
425,1901 1918 1899 4532 4362 4396 1958 4234 3088 4045
426,2962 4331 2521 4440 2646 4361 4219 4332 4257 2866
427,3592 4385 4519 4453 3591 4217 4328 4286 4319 4532
428,4308 4234 4153 4400 4361 4446 4050 4362 4331 4204
429,4396 4328 1907 4286 4234 3467 4243 4289 4321 4436
430,4308 4408 4387 4219 1958 4400 2646 4234 4331 3088
431,3844 2865 2696 1966 2646 4361 4406 4219 4308 4384
432,4308 3088 1951 4234 1918 4328 4408 4320 1901 4387
433,4361 4234 4408 4009 1923 4403 2408 4387 3088 2511
434,1909 4407 2511 4532 4396 3419 4358 4408 2408 2968
435,2646 4400 4408 4234 1958 3088 2521 4387 2831 4308
436,4308 4234 4408 4400 1960 4387 1909 2962 1918 2408
437,2646 4219 4308 2962 4387 1958 2865 4361 4397 2521
